================================================================================
HMM 状態別デコード分析  k=9
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
  soeeedy            71.4%      0%    100%      0%
  teesody            71.4%      0%    100%      0%
  teodeey            71.4%      0%    100%      0%
  todeeey            71.4%      0%    100%      0%
  cheodeeey          66.7%      0%     86%      0%
  deedes             66.7%      0%    100%      0%
  deeedy             66.7%      0%    100%      0%
  eeo                66.7%    100%    100%      0%
  ees                66.7%    100%    100%      0%

────────────────────────────────────────────────────────────────────────────────
  State 7: S7
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  aol                66.7%    100%    100%      0%
  asa                66.7%    100%      0%    100%
  aroka              60.0%    100%     33%    100%
  ag                 50.0%    100%    N/A      0%
  aiodam             50.0%    100%     50%      0%
  al                 50.0%    100%    N/A      0%
  alal               50.0%    100%     50%      0%
  alalor             50.0%    100%     50%      0%
  alam               50.0%    100%     50%      0%
  alar               50.0%    100%     50%      0%
  alod               50.0%    100%     50%      0%
  alodam             50.0%    100%     50%      0%
  alodar             50.0%    100%     50%      0%
  alog               50.0%    100%     50%      0%
  alol               50.0%    100%     50%      0%
  alolor             50.0%    100%     50%      0%
  alom               50.0%    100%     50%      0%
  alor               50.0%    100%     50%      0%
  alos               50.0%    100%     50%      0%
  am                 50.0%    100%    N/A      0%
  amam               50.0%    100%     50%      0%
  aman               50.0%    100%     50%      0%
  amod               50.0%    100%     50%      0%
  amom               50.0%    100%     50%      0%
  an                 50.0%    100%    N/A      0%
  ar                 50.0%    100%    N/A      0%
  aral               50.0%    100%     50%      0%
  aralos             50.0%    100%     50%      0%
  aram               50.0%    100%     50%      0%
  arar               50.0%    100%     50%      0%

────────────────────────────────────────────────────────────────────────────────
  State 8: S8
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  qoek               75.0%    100%    100%      0%
  qolp               75.0%    100%    100%      0%
  olk                66.7%    100%    100%      0%
  oyd                66.7%    100%    100%      0%
  oys                66.7%    100%    100%      0%
  qof                66.7%    100%    100%      0%
  qok                66.7%    100%    100%      0%
  qolody             66.7%    100%     75%      0%
  qop                66.7%    100%    100%      0%
  qot                66.7%    100%    100%      0%
  roloty             66.7%    100%     75%      0%
  ooooooooolarsr     64.3%    100%     67%      0%
  loety              60.0%    100%     67%      0%
  olody              60.0%    100%     67%      0%
  oloky              60.0%    100%     67%      0%
  oqoky              60.0%    100%     67%      0%
  oqoor              60.0%    100%     67%      0%
  qoeky              60.0%    100%     67%      0%
  qoete              60.0%    100%     67%      0%
  qolky              60.0%    100%     67%      0%
  qolsa              60.0%    100%     67%      0%
  qoody              60.0%    100%     67%      0%
  qooko              60.0%    100%     67%      0%
  qooto              60.0%    100%     67%      0%
  qorky              60.0%    100%     67%      0%
  qoyky              60.0%    100%     67%      0%
  soydy              60.0%    100%     67%      0%
  qoolkal            57.1%    100%     60%      0%
  dlls               50.0%    100%     50%      0%
  dlocta             50.0%    100%     50%      0%

────────────────────────────────────────────────────────────────────────────────
  State 9: S9
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  da                 50.0%    100%    N/A      0%
  daky               50.0%    100%     50%      0%
  dd                 50.0%    100%    N/A      0%
  defo               50.0%    100%     50%      0%
  dery               50.0%    100%     50%      0%
  dg                 50.0%    100%    N/A      0%
  dl                 50.0%    100%    N/A      0%
  dm                 50.0%    100%    N/A      0%
  do                 50.0%    100%    N/A      0%
  dr                 50.0%    100%    N/A      0%
  ds                 50.0%    100%    N/A      0%
  dy                 50.0%    100%    N/A      0%
  ek                 50.0%      0%    N/A    100%
  fo                 50.0%    100%    N/A      0%
  ka                 50.0%    100%    N/A      0%
  kl                 50.0%    100%    N/A      0%
  ko                 50.0%    100%    N/A      0%
  koky               50.0%    100%     50%      0%
  ky                 50.0%    100%    N/A      0%
  kyty               50.0%    100%     50%      0%
  ld                 50.0%    100%    N/A      0%
  le                 50.0%    100%    N/A      0%
  lg                 50.0%    100%    N/A      0%
  lk                 50.0%      0%    N/A    100%
  lm                 50.0%    100%    N/A      0%
  lo                 50.0%    100%    N/A      0%
  lr                 50.0%    100%    N/A      0%
  ls                 50.0%    100%    N/A      0%
  lt                 50.0%      0%    N/A    100%
  ly                 50.0%    100%    N/A      0%
